Classe;Heure_Debut;Heure_de_Fin;Salle
DEPARTEMENT HAUT NIVEAU;08:00;22:00;Salle Aunis
PF TENNIS 2022-2023 Filles;08:00;11:00;Salle Saintonge
CREPS MANIFESTATION;09:00;12:00;Salle des actes + Salle de réunion 2ème du château
LIG NA TENNIS DE 2022-2023;09:00;18:00;SC tennis Halle de Tennis
BP JEPS APT 2022-2023;09:30;13:00;Salle Pop 1-PEKIN 1 + Salle Pop 2- PEKIN 2
DEPARTEMENT HAUT NIVEAU;12:00;13:00;Salle Saintonge
CREPS MANIFESTATION;13:00;22:00;Auditorium
PF TENNIS 2022-2023 Garçons;13:00;16:00;CDI (salle de cours)
BP JEPS APT 2022-2023;14:00;15:30;Salle 24
CREPS MANIFESTATION;14:00;15:00;Salle des actes
CREPS MANIFESTATION;15:30;17:00;Salle des actes
DEPARTEMENT HAUT NIVEAU;18:00;19:00;Salle Saintonge
DEPARTEMENT HAUT NIVEAU;20:00;21:00;CDI (espace informatique) + CDI (salle de cours)
DEPARTEMENT HAUT NIVEAU;20:00;21:00;Salle 06 + Salle 07
